site,site_name,date,participation
25,Ledbetter,10/1/2019,7606
25,Ledbetter,11/1/2019,7637
25,Ledbetter,12/1/2019,7763
25,Ledbetter,1/1/2020,7872
25,Ledbetter,2/1/2020,7897
25,Ledbetter,3/1/2020,8100
25,Ledbetter,4/1/2020,8747
25,Ledbetter,5/1/2020,9495
25,Ledbetter,6/1/2020,9818
25,Ledbetter,7/1/2020,9962
25,Ledbetter,8/1/2020,9303
25,Ledbetter,9/1/2020,8963
25,Ledbetter,10/1/2020,8937
25,Ledbetter,11/1/2020,8866
25,Ledbetter,12/1/2020,8849
25,Ledbetter,1/1/2021,8775
25,Ledbetter,2/1/2021,8332
25,Ledbetter,3/1/2021,8387
25,Ledbetter,4/1/2021,8181
25,Ledbetter,5/1/2021,7917
25,Ledbetter,6/1/2021,7618
25,Ledbetter,7/1/2021,7525
25,Ledbetter,8/1/2021,7750
25,Ledbetter,9/1/2021,7911
25,Ledbetter,10/1/2021,7911
25,Ledbetter,11/1/2021,7740
26,John West/Buckner,10/1/2017,6616
26,John West/Buckner,11/1/2017,6482
26,John West/Buckner,12/1/2017,6339
26,John West/Buckner,1/1/2018,6259
26,John West/Buckner,2/1/2018,6191
26,John West/Buckner,3/1/2018,6049
26,John West/Buckner,4/1/2018,6033
26,John West/Buckner,5/1/2018,6005
26,John West/Buckner,6/1/2018,5952
26,John West/Buckner,7/1/2018,5820
26,John West/Buckner,8/1/2018,5506
26,John West/Buckner,9/1/2018,5396
26,John West/Buckner,10/1/2018,5099
26,John West/Buckner,11/1/2018,4951
26,John West/Buckner,12/1/2018,4942
26,John West/Buckner,1/1/2019,4889
26,John West/Buckner,2/1/2019,4741
26,John West/Buckner,3/1/2019,4699
26,John West/Buckner,4/1/2019,4685
26,John West/Buckner,5/1/2019,4701
26,John West/Buckner,6/1/2019,4698
26,John West/Buckner,7/1/2019,4733
26,John West/Buckner,8/1/2019,4755
26,John West/Buckner,9/1/2019,4735
26,John West/Buckner,10/1/2019,4687
26,John West/Buckner,11/1/2019,4574
26,John West/Buckner,12/1/2019,4475
26,John West/Buckner,1/1/2020,4512
26,John West/Buckner,2/1/2020,4520
26,John West/Buckner,3/1/2020,4346
26,John West/Buckner,4/1/2020,3928
26,John West/Buckner,5/1/2020,3761
26,John West/Buckner,6/1/2020,3952
26,John West/Buckner,7/1/2020,4056
26,John West/Buckner,8/1/2020,4195
26,John West/Buckner,9/1/2020,4189
26,John West/Buckner,10/1/2020,4214
26,John West/Buckner,11/1/2020,4128
26,John West/Buckner,12/1/2020,4101
26,John West/Buckner,1/1/2021,4055
26,John West/Buckner,2/1/2021,3846
26,John West/Buckner,3/1/2021,3951
26,John West/Buckner,4/1/2021,4008
26,John West/Buckner,5/1/2021,4062
26,John West/Buckner,6/1/2021,4077
26,John West/Buckner,7/1/2021,4140
26,John West/Buckner,8/1/2021,4217
26,John West/Buckner,9/1/2021,4390
26,John West/Buckner,10/1/2021,4406
26,John West/Buckner,11/1/2021,4442
30,Duncanville,10/1/2017,3466
30,Duncanville,11/1/2017,3420
30,Duncanville,12/1/2017,3384
30,Duncanville,1/1/2018,3374
30,Duncanville,2/1/2018,3316
30,Duncanville,3/1/2018,3294
30,Duncanville,4/1/2018,3337
30,Duncanville,5/1/2018,3328
30,Duncanville,6/1/2018,3274
30,Duncanville,7/1/2018,3207
30,Duncanville,8/1/2018,3071
30,Duncanville,9/1/2018,2986
30,Duncanville,10/1/2018,2879
30,Duncanville,11/1/2018,2753
30,Duncanville,12/1/2018,2751
30,Duncanville,1/1/2019,2750
30,Duncanville,2/1/2019,2607
30,Duncanville,3/1/2019,2650
30,Duncanville,4/1/2019,2667
30,Duncanville,5/1/2019,2659
30,Duncanville,6/1/2019,2725
30,Duncanville,7/1/2019,2814
30,Duncanville,8/1/2019,2818
30,Duncanville,9/1/2019,2860
30,Duncanville,10/1/2019,2924
30,Duncanville,11/1/2019,2924
30,Duncanville,12/1/2019,2936
30,Duncanville,1/1/2020,3050
30,Duncanville,2/1/2020,3036
30,Duncanville,3/1/2020,3106
30,Duncanville,4/1/2020,2915
30,Duncanville,5/1/2020,2552
30,Duncanville,6/1/2020,2480
30,Duncanville,7/1/2020,2518
30,Duncanville,8/1/2020,2512
30,Duncanville,9/1/2020,2501
30,Duncanville,10/1/2020,2440
30,Duncanville,11/1/2020,2456
30,Duncanville,12/1/2020,2480
30,Duncanville,1/1/2021,2439
30,Duncanville,2/1/2021,2371
30,Duncanville,3/1/2021,2384
30,Duncanville,4/1/2021,2304
30,Duncanville,5/1/2021,2298
30,Duncanville,6/1/2021,2361
30,Duncanville,7/1/2021,2310
30,Duncanville,8/1/2021,2470
30,Duncanville,9/1/2021,2599
30,Duncanville,10/1/2021,2582
30,Duncanville,11/1/2021,2642
32,West Garland,10/1/2017,5409
32,West Garland,11/1/2017,5323
32,West Garland,12/1/2017,5225
32,West Garland,1/1/2018,5157
32,West Garland,2/1/2018,5165
32,West Garland,3/1/2018,5091
32,West Garland,4/1/2018,5038
32,West Garland,5/1/2018,5003
32,West Garland,6/1/2018,4923
32,West Garland,7/1/2018,4877
32,West Garland,8/1/2018,4661
32,West Garland,9/1/2018,4456
32,West Garland,10/1/2018,4346
32,West Garland,11/1/2018,4151
32,West Garland,12/1/2018,4164
32,West Garland,1/1/2019,4157
32,West Garland,2/1/2019,4064
32,West Garland,3/1/2019,4124
32,West Garland,4/1/2019,4143
32,West Garland,5/1/2019,4097
32,West Garland,6/1/2019,4058
32,West Garland,7/1/2019,4087
32,West Garland,8/1/2019,4144
32,West Garland,9/1/2019,4134
32,West Garland,10/1/2019,4119
32,West Garland,11/1/2019,4080
32,West Garland,12/1/2019,4066
32,West Garland,1/1/2020,4074
32,West Garland,2/1/2020,4080
32,West Garland,3/1/2020,3981
32,West Garland,4/1/2020,4157
32,West Garland,5/1/2020,4504
32,West Garland,6/1/2020,4592
32,West Garland,7/1/2020,4772
32,West Garland,8/1/2020,4658
32,West Garland,9/1/2020,4546
32,West Garland,10/1/2020,4612
32,West Garland,11/1/2020,4571
32,West Garland,12/1/2020,4473
32,West Garland,1/1/2021,4337
32,West Garland,2/1/2021,4254
32,West Garland,3/1/2021,4291
32,West Garland,4/1/2021,4183
32,West Garland,5/1/2021,4095
32,West Garland,6/1/2021,4112
32,West Garland,7/1/2021,3999
32,West Garland,8/1/2021,4075
32,West Garland,9/1/2021,4215
32,West Garland,10/1/2021,4276
32,West Garland,11/1/2021,4353
34,Stemmons Clinic,10/1/2017,57
34,Stemmons Clinic,11/1/2017,18
34,Stemmons Clinic,12/1/2017,1
34,Stemmons Clinic,1/1/2018,
34,Stemmons Clinic,2/1/2018,
34,Stemmons Clinic,3/1/2018,
34,Stemmons Clinic,4/1/2018,
34,Stemmons Clinic,5/1/2018,
34,Stemmons Clinic,6/1/2018,
34,Stemmons Clinic,7/1/2018,
34,Stemmons Clinic,8/1/2018,5
34,Stemmons Clinic,9/1/2018,2
34,Stemmons Clinic,10/1/2018,7
34,Stemmons Clinic,11/1/2018,8
34,Stemmons Clinic,12/1/2018,7
34,Stemmons Clinic,1/1/2019,
34,Stemmons Clinic,2/1/2019,1
34,Stemmons Clinic,3/1/2019,2
34,Stemmons Clinic,4/1/2019,1
34,Stemmons Clinic,5/1/2019,
34,Stemmons Clinic,6/1/2019,
34,Stemmons Clinic,7/1/2019,
34,Stemmons Clinic,8/1/2019,
34,Stemmons Clinic,9/1/2019,
34,Stemmons Clinic,10/1/2019,
34,Stemmons Clinic,11/1/2019,
34,Stemmons Clinic,12/1/2019,
34,Stemmons Clinic,1/1/2020,
34,Stemmons Clinic,2/1/2020,
34,Stemmons Clinic,3/1/2020,
34,Stemmons Clinic,4/1/2020,
34,Stemmons Clinic,5/1/2020,
34,Stemmons Clinic,6/1/2020,
34,Stemmons Clinic,7/1/2020,
