Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2017,9,89,6050,356,185,645,18,1204,191,627,157,975,1879,4058,-95,51942.4,9/1/2017,Sep,LA 89,12/1/2017,FY17,22923.83167
2017,9,90,5850,511,92,654,183,1440,92,613,487,1192,2374,5006,14,60872.96,9/1/2017,Sep,LA 90,12/1/2017,FY17,71107.68167
2017,9,95,2100,129,69,139,122,459,68,143,270,481,693,1633,4,27173.12,9/1/2017,Sep,LA 95,12/1/2017,FY17,39423.15
2017,9,100,8600,577,161,708,357,1803,172,655,932,1759,3016,6578,7,101038.08,9/1/2017,Sep,LA 100,12/1/2017,FY17,136082.8733
2017,9,105,1100,73,19,24,48,164,19,25,123,167,512,843,-38,14027.52,9/1/2017,Sep,LA 105,12/1/2017,FY17,17959.435
2017,9,107,3400,227,53,139,143,562,59,117,414,590,1181,2333,-46,37328,9/1/2017,Sep,LA 107,12/1/2017,FY17,60448.83
2017,9,108,6200,382,99,300,335,1116,105,329,737,1171,1940,4227,3,59516.16,9/1/2017,Sep,LA 108,12/1/2017,FY17,107610.5983
2017,9,110,1100,78,16,78,36,208,17,59,109,185,383,776,-27,12912.64,9/1/2017,Sep,LA 110,12/1/2017,FY17,15915.27167
2017,9,126,1000,94,21,42,48,205,23,36,170,229,419,853,12,14193.92,9/1/2017,Sep,LA 126,12/1/2017,FY17,24821.98333
2017,9,132,8350,700,193,715,352,1960,215,677,957,1849,3588,7397,-60,113617.92,9/1/2017,Sep,LA 132,12/1/2017,FY17,139733.165
2018,9,1,37450,1953,1074,2989,568,6584,349,3790,1780,5919,11158,23661,138,340718.4,9/1/2018,Sep,LA 1,12/1/2018,FY18,259900.7667
2018,9,3,31500,1922,279,2409,877,5487,120,2488,2119,4727,10797,21011,14,282387.84,9/1/2018,Sep,LA 3,12/1/2018,FY18,309398.7217
2018,9,4,1500,77,12,78,53,220,4,93,123,220,546,986,-3,16407.04,9/1/2018,Sep,LA 4,12/1/2018,FY18,17959.435
2018,9,5,9450,582,189,656,397,1824,67,832,790,1689,2980,6493,-81,87265.92,9/1/2018,Sep,LA 5,12/1/2018,FY18,115349.2167
2018,9,7,106250,5042,1467,11631,2217,20357,707,12193,6042,18942,29871,69170,-1894,796838.4,9/1/2018,Sep,LA 7,12/1/2018,FY18,882202.49
2018,9,10,3900,261,75,197,176,709,23,242,479,744,1112,2565,0,36115.2,9/1/2018,Sep,LA 10,12/1/2018,FY18,69939.58833
2018,9,11,6700,335,90,457,304,1186,28,518,684,1230,1729,4145,-110,54382.4,9/1/2018,Sep,LA 11,12/1/2018,FY18,99871.98
2018,9,12,81900,5016,740,7795,1387,14938,358,8325,3311,11994,30392,57324,3790,733747.2,9/1/2018,Sep,LA 12,12/1/2018,FY18,483444.6283
2018,9,13,30250,1943,153,2255,1015,5366,85,2458,2334,4877,11167,21410,-380,342560,9/1/2018,Sep,LA 13,12/1/2018,FY18,340791.23
2018,9,17,34400,2324,416,3179,1365,7284,162,3434,3221,6817,13291,27392,77,310899.2,9/1/2018,Sep,LA 17,12/1/2018,FY18,470303.5783
2018,9,19,3600,249,34,207,153,643,15,251,301,567,1322,2532,-69,38891.52,9/1/2018,Sep,LA 19,12/1/2018,FY18,43949.51167
2018,9,20,7200,316,86,182,300,884,34,237,649,920,1892,3696,-98,59136,9/1/2018,Sep,LA 20,12/1/2018,FY18,94761.57167
2018,9,21,4600,300,92,159,259,810,35,236,557,828,1351,2989,-90,42085.12,9/1/2018,Sep,LA 21,12/1/2018,FY18,81328.49833
2018,9,22,8050,610,167,404,542,1723,64,521,1291,1876,2968,6567,-97,100869.12,9/1/2018,Sep,LA 22,12/1/2018,FY18,188501.0617
2018,9,24,4550,322,32,521,109,984,9,571,250,830,1889,3703,-49,59248,9/1/2018,Sep,LA 24,12/1/2018,FY18,36502.91667
2018,9,26,84000,4783,758,7881,2624,16046,320,8461,5899,14680,26795,57521,-603,681048.64,9/1/2018,Sep,LA 26,12/1/2018,FY18,861322.8217
2018,9,27,65200,3849,1411,3036,3654,11950,528,3878,8522,12928,20607,45485,-1272,780067.75,9/1/2018,Sep,LA 27,12/1/2018,FY18,1244311.423
2018,9,28,2350,118,25,129,72,344,14,189,139,342,833,1519,25,20415.36,9/1/2018,Sep,LA 28,12/1/2018,FY18,20295.62167
