Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015-12-01,1604,364,453,787,67,2015,LA 67,12,2100,124,20,71,149,24,80,349,-25,26498.08,Dec,2016-03-01,FY16,50958.0716666667
2015-12-01,2376,616,636,1124,69,2015,LA 69,12,2850,231,70,118,197,81,112,443,35,38491.2,Dec,2016-03-01,FY16,64683.1683333333
2015-12-01,463,96,127,240,70,2015,LA 70,12,750,43,9,6,38,11,24,92,-18,7796.92,Dec,2016-03-01,FY16,13433.0733333333
2015-12-01,9498,2453,2433,4612,71,2015,LA 71,12,12450,656,350,1043,404,366,1025,1042,-178,111601.5,Dec,2016-03-01,FY16,152144.156666667
2015-12-01,12845,3062,3241,6542,73,2015,LA 73,12,13750,1237,306,566,953,326,505,2410,55,146818.35,Dec,2016-03-01,FY16,351888.116666667
2015-12-01,1104,295,272,537,74,2015,LA 74,12,1250,115,30,84,66,33,62,177,18,18238.08,Dec,2016-03-01,FY16,25844.065
2015-12-01,33848,9039,9046,15763,76,2015,LA 76,12,41500,3080,1075,2716,2168,1190,2393,5463,-319,577108.4,Dec,2016-03-01,FY16,797661.735
2015-12-01,39628,10943,9494,19191,77,2015,LA 77,12,42500,3466,893,5514,1070,961,4633,3900,-88,591646.04,Dec,2016-03-01,FY16,569445.5
2015-12-01,4545,1296,1089,2160,89,2015,LA 89,12,6050,365,218,618,95,225,594,270,-78,57721.5,Dec,2016-03-01,FY16,39423.15
2015-12-01,4989,1369,1155,2465,90,2015,LA 90,12,5850,462,112,605,190,115,561,479,-72,60217.23,Dec,2016-03-01,FY16,69939.5883333333
2015-12-01,1629,466,478,685,95,2015,LA 95,12,2100,142,54,125,145,54,135,289,-40,26911.08,Dec,2016-03-01,FY16,42197.3716666667
2015-12-01,7259,2022,1967,3270,100,2015,LA 100,12,8600,670,164,767,421,182,683,1102,49,110699.75,Dec,2016-03-01,FY16,160904.856666667
2015-12-01,967,216,227,524,105,2015,LA 105,12,1100,74,28,28,86,28,27,172,-17,15974.84,Dec,2016-03-01,FY16,25114.0066666667
2015-12-01,2455,557,637,1261,107,2015,LA 107,12,3400,215,50,84,208,56,129,452,-39,38985.4,Dec,2016-03-01,FY16,65997.2733333333
2015-12-01,4921,1308,1295,2318,108,2015,LA 108,12,6200,468,96,382,362,102,353,840,-145,65646.14,Dec,2016-03-01,FY16,122649.8
2015-12-01,848,238,222,388,110,2015,LA 110,12,1100,84,12,96,46,13,68,141,-5,14008.96,Dec,2016-03-01,FY16,20587.645
2015-12-01,867,223,218,426,126,2015,LA 126,12,1000,103,18,66,36,19,71,128,-30,14322.84,Dec,2016-03-01,FY16,18689.4933333333
2015-11-01,29545,8476,7078,13991,1,2015,LA 1,11,37450,2667,1145,3905,759,1201,3433,2444,-390,384675.9,Nov,2016-02-01,FY16,356852.513333333
2015-11-01,26979,7052,5883,14044,3,2015,LA 3,11,31500,2562,307,3269,914,331,3065,2487,-214,325366.74,Nov,2016-02-01,FY16,363131.015
2015-11-01,1205,289,269,647,4,2015,LA 4,11,1500,132,18,61,78,18,76,175,-22,19906.6,Nov,2016-02-01,FY16,25552.0416666667
2015-11-01,7905,2173,2022,3710,5,2015,LA 5,11,9450,727,191,843,412,199,825,998,-65,105452.7,Nov,2016-02-01,FY16,145719.643333333
2015-11-01,89140,25602,22551,40987,7,2015,LA 7,11,106250,7332,1995,14208,2067,2182,12857,7512,-944,1018870.2,Nov,2016-02-01,FY16,1096839.64
2015-11-01,3007,785,847,1375,10,2015,LA 10,11,3900,286,94,148,257,103,165,579,-41,42007.79,Nov,2016-02-01,FY16,84540.755
2015-11-01,5814,1671,1612,2531,11,2015,LA 11,11,6700,564,106,598,403,117,540,955,-167,72035.46,Nov,2016-02-01,FY16,139441.141666667
2015-11-01,70658,17722,14511,38425,12,2015,LA 12,11,81900,6354,891,8573,1904,979,8369,5163,-297,852135.48,Nov,2016-02-01,FY16,753858.235
2015-11-01,25574,6355,5653,13566,13,2015,LA 13,11,30250,2332,187,2683,1153,206,2291,3156,-282,406115.12,Nov,2016-02-01,FY16,460812.82
2015-11-01,31943,8259,8005,15679,17,2015,LA 17,11,34400,3161,475,2844,1779,504,2872,4629,-533,359358.75,Nov,2016-02-01,FY16,675888.005
2015-11-01,3036,768,700,1568,19,2015,LA 19,11,3600,314,50,250,154,55,244,401,-20,46268.64,Nov,2016-02-01,FY16,58550.6783333333
2015-11-01,5147,1242,1209,2696,20,2015,LA 20,11,7200,524,119,259,340,131,207,871,-82,81734.36,Nov,2016-02-01,FY16,127176.161666667
2015-11-01,3762,971,985,1806,21,2015,LA 21,11,4600,388,126,147,310,124,165,696,-55,52555.14,Nov,2016-02-01,FY16,101624.12
